Statistic Label,TIME,Country,UNIT,Value
Household total disposable Income,1999Q1,Ireland,Euro Million,11868.98
Household total disposable Income,1999Q2,Ireland,Euro Million,10623.73
Household total disposable Income,1999Q3,Ireland,Euro Million,12655.65
Household total disposable Income,1999Q4,Ireland,Euro Million,12161.58
Household total disposable Income,2000Q1,Ireland,Euro Million,12556.97
Household total disposable Income,2000Q2,Ireland,Euro Million,12938.28
Household total disposable Income,2000Q3,Ireland,Euro Million,14009.75
Household total disposable Income,2000Q4,Ireland,Euro Million,13382.55
Household total disposable Income,2001Q1,Ireland,Euro Million,14504.87
Household total disposable Income,2001Q2,Ireland,Euro Million,15101.49
Household total disposable Income,2001Q3,Ireland,Euro Million,15995.81
Household total disposable Income,2001Q4,Ireland,Euro Million,14892.35
Household total disposable Income,2002Q1,Ireland,Euro Million,15433.77
Household total disposable Income,2002Q2,Ireland,Euro Million,16743
Household total disposable Income,2002Q3,Ireland,Euro Million,16903.19
Household total disposable Income,2002Q4,Ireland,Euro Million,15753.49
Household total disposable Income,2003Q1,Ireland,Euro Million,17063.04
Household total disposable Income,2003Q2,Ireland,Euro Million,18080.39
Household total disposable Income,2003Q3,Ireland,Euro Million,18093.52
Household total disposable Income,2003Q4,Ireland,Euro Million,17090.9
Household total disposable Income,2004Q1,Ireland,Euro Million,18183.47
Household total disposable Income,2004Q2,Ireland,Euro Million,19264.23
Household total disposable Income,2004Q3,Ireland,Euro Million,19459.7
Household total disposable Income,2004Q4,Ireland,Euro Million,18292.01
Household total disposable Income,2005Q1,Ireland,Euro Million,19983.91
Household total disposable Income,2005Q2,Ireland,Euro Million,21561.71
Household total disposable Income,2005Q3,Ireland,Euro Million,21168.9
Household total disposable Income,2005Q4,Ireland,Euro Million,19815.79
Household total disposable Income,2006Q1,Ireland,Euro Million,21872.19
Household total disposable Income,2006Q2,Ireland,Euro Million,23660.81
Household total disposable Income,2006Q3,Ireland,Euro Million,22859.42
Household total disposable Income,2006Q4,Ireland,Euro Million,20484.45
Household total disposable Income,2007Q1,Ireland,Euro Million,23408.4
Household total disposable Income,2007Q2,Ireland,Euro Million,25053.89
Household total disposable Income,2007Q3,Ireland,Euro Million,25089.81
Household total disposable Income,2007Q4,Ireland,Euro Million,22912.18
Household total disposable Income,2008Q1,Ireland,Euro Million,25388.29
Household total disposable Income,2008Q2,Ireland,Euro Million,27009.91
Household total disposable Income,2008Q3,Ireland,Euro Million,26253.66
Household total disposable Income,2008Q4,Ireland,Euro Million,23649.33
Household total disposable Income,2009Q1,Ireland,Euro Million,23889.59
