Month,Price
1月-16,2.28
2月-16,1.99
3月-16,1.73
4月-16,1.92
5月-16,1.92
6月-16,2.59
7月-16,2.82
8月-16,2.82
9月-16,2.99
10月-16,2.98
11月-16,2.55
12月-16,3.59
1月-17,3.3
2月-17,2.85
3月-17,2.88
4月-17,3.1
5月-17,3.15
6月-17,2.98
7月-17,2.98
8月-17,2.9
9月-17,2.98
10月-17,2.88
11月-17,3.01
12月-17,2.82
1月-18,3.87
2月-18,2.67
3月-18,2.69
4月-18,2.8
5月-18,2.8
6月-18,2.97
7月-18,2.83
8月-18,2.96
9月-18,3
10月-18,3.28
11月-18,4.09
12月-18,4.04
1月-19,3.11
2月-19,2.69
3月-19,2.95
4月-19,2.65
5月-19,2.64
6月-19,2.4
7月-19,2.37
8月-19,2.22
9月-19,2.56
10月-19,2.33
11月-19,2.65
12月-19,2.22
1月-20,2.02
2月-20,1.91
3月-20,1.79
4月-20,1.74
5月-20,1.75
6月-20,1.63
7月-20,1.77
8月-20,2.3
9月-20,1.92
10月-20,2.39
11月-20,2.61
12月-20,2.59
